"Year","County_Code","name","PPT","Irrigation","Max_UnderTh","Unreported_Irrigation_based"
2007,199,"YORK",278.94,483,41,21.09
2007,7,"AMELIA",245.76,516,109,59.89
2007,119,"MIDDLESEX",266.65,495,26,13.7
2007,109,"LOUISA",278.76,483,90,46.29
2007,111,"LUNENBURG",206.45,556,61,36.12
2007,115,"MATHEWS",252.32,510,19,10.32
2007,191,"WASHINGTON",290.22,472,155,77.91
2007,29,"BUCKINGHAM",272.59,489,26,13.54
2007,33,"CAROLINE",221.7,540,79,45.43
2007,53,"DINWIDDIE",266.9,495,115,60.62
2007,141,"PATRICK",276.37,486,134,69.35
2007,177,"SPOTSYLVANIA",240.3,522,79,43.91
2007,35,"CARROLL",257.15,505,60,32.27
2007,57,"ESSEX",212.84,549,39,22.8
2007,41,"CHESTERFIELD",254.63,507,46,24.83
2007,125,"NELSON",271.92,490,145,75.66
2007,147,"PRINCE EDWARD",221.93,540,60,34.5
2007,97,"KING AND QUEEN",250.93,511,64,34.83
