"COUNTYFP","YEAR","County_Name","Facility_withdrawal_mg","Mean_Coeff","Unreported_Coeff_Based"
53,2009,"DINWIDDIE",22.991584,26.2272198173845,603.01
57,2009,"ESSEX",183.19,-0.563346159327348,-103.2
63,2009,"FLOYD",15.81,0.338022551053512,5.34
69,2009,"FREDERICK",14,14.0392552912008,196.55
81,2009,"GREENSVILLE",36.323675,2.5129200773035,91.28
83,2009,"HALIFAX",10.6064,205.49750461966,2179.59
85,2009,"HANOVER",635.50888,3.32687745927574,2114.26
93,2009,"ISLE OF WIGHT",38.283,13.6411628324045,522.22
97,2009,"KING AND QUEEN",221.37,-0.243257516355705,-53.85
99,2009,"KING GEORGE",43.56,0.556703101239541,24.25
101,2009,"KING WILLIAM",619.4184,3.31877773881157,2055.71
107,2009,"LOUDOUN",32.10989352,191.683282493288,6154.93
111,2009,"LUNENBURG",5.267236,49.7066835799955,261.82
119,2009,"MIDDLESEX",53.98,8.50120598404053,458.9
121,2009,"MONTGOMERY",25.18,4.04705957155143,101.9
125,2009,"NELSON",373.884,0.207809112500824,77.7
127,2009,"NEW KENT",78.67,9.16176371829938,720.76
131,2009,"NORTHAMPTON",869.438526,4.51761404479922,3927.79
137,2009,"ORANGE",20.3548,629.147573352573,12806.17
139,2009,"PAGE",28.99566,5.34483097272663,154.98
141,2009,"PATRICK",0.5,211.18,105.59
143,2009,"PITTSYLVANIA",37.009142,46.1985613525427,1709.77
145,2009,"POWHATAN",2.85,57.1953169121042,163.01
153,2009,"PRINCE WILLIAM",4.314,95.0700100528181,410.13
165,2009,"ROCKINGHAM",357.451121,8.0450354910328,2875.71
171,2009,"SHENANDOAH",3,11.8304519974572,35.49
175,2009,"SOUTHAMPTON",249.27522,11.0434849336055,2752.87
177,2009,"SPOTSYLVANIA",36.33,55.778916572181,2026.45
181,2009,"SURRY",27.007,14.1589441033161,382.39
183,2009,"SUSSEX",20.28,11.4940687074363,233.1
193,2009,"WESTMORELAND",720.417,0.799417668435908,575.91
550,2009,"CHESAPEAKE CITY",1.246405,33.4573512502287,41.7
800,2009,"SUFFOLK CITY",136.7,0.739495119822749,101.09
1,2010,"ACCOMACK",3325.996681,0.433555704694594,1442
7,2010,"AMELIA",67,9.47046531782232,634.52
15,2010,"AUGUSTA",622.107,3.50940304845818,2183.22
31,2010,"CAMPBELL",22.484,2.1076279298765,47.39
33,2010,"CAROLINE",1183.863125,0.939539274710447,1112.29
36,2010,"CHARLES CITY",247.16,7.88173475609148,1948.05
37,2010,"CHARLOTTE",10.1,16.5220574715091,166.87
41,2010,"CHESTERFIELD",37.05,2.1458914536244,79.51
43,2010,"CLARKE",62.1,2.81200919924463,174.63
47,2010,"CULPEPER",147.502,17.9027531604714,2640.69
53,2010,"DINWIDDIE",29.554526,26.2272198173845,775.13
57,2010,"ESSEX",311.73,-0.563346159327348,-175.61
63,2010,"FLOYD",18.09,0.338022551053512,6.11
67,2010,"FRANKLIN",2,37.9771380186283,75.95
69,2010,"FREDERICK",12,14.0392552912008,168.47
81,2010,"GREENSVILLE",40.841,2.5129200773035,102.63
83,2010,"HALIFAX",7.165,205.49750461966,1472.39
85,2010,"HANOVER",732.666278,3.32687745927574,2437.49
87,2010,"HENRICO",2.2309,-1,-2.23
93,2010,"ISLE OF WIGHT",86.5,13.6411628324045,1179.96
97,2010,"KING AND QUEEN",326.15,-0.243257516355705,-79.34
99,2010,"KING GEORGE",179.86,0.556703101239541,100.13
101,2010,"KING WILLIAM",925.226,3.31877773881157,3070.62
107,2010,"LOUDOUN",33.229356,191.683282493288,6369.51
111,2010,"LUNENBURG",7.805,49.7066835799955,387.96
119,2010,"MIDDLESEX",24.6,8.50120598404053,209.13
121,2010,"MONTGOMERY",64.82,4.04705957155143,262.33
125,2010,"NELSON",401.27,0.207809112500824,83.39
127,2010,"NEW KENT",108.73,9.16176371829938,996.16
131,2010,"NORTHAMPTON",595.271395,4.51761404479922,2689.21
139,2010,"PAGE",31.393,5.34483097272663,167.79
143,2010,"PITTSYLVANIA",15.39507,46.1985613525427,711.23
145,2010,"POWHATAN",5.4,57.1953169121042,308.85
165,2010,"ROCKINGHAM",628.1251,8.0450354910328,5053.29
171,2010,"SHENANDOAH",87.725,11.8304519974572,1037.83
175,2010,"SOUTHAMPTON",320.0703,11.0434849336055,3534.69
177,2010,"SPOTSYLVANIA",9.85,55.778916572181,549.42
181,2010,"SURRY",87.089,14.1589441033161,1233.09
183,2010,"SUSSEX",167.27,11.4940687074363,1922.61
193,2010,"WESTMORELAND",299.234,0.799417668435908,239.21
550,2010,"CHESAPEAKE CITY",1.533239,33.4573512502287,51.3
800,2010,"SUFFOLK CITY",130,0.739495119822749,96.13
1,2011,"ACCOMACK",2912.499712,0.433555704694594,1262.73
7,2011,"AMELIA",63.5,9.47046531782232,601.37
15,2011,"AUGUSTA",646.28625,3.50940304845818,2268.08
19,2011,"BEDFORD",11.5149,8.02410256108611,92.4
31,2011,"CAMPBELL",54.349,2.1076279298765,114.55
33,2011,"CAROLINE",680.9,0.939539274710447,639.73
36,2011,"CHARLES CITY",353.15,7.88173475609148,2783.43
37,2011,"CHARLOTTE",15.9,16.5220574715091,262.7
41,2011,"CHESTERFIELD",32.45,2.1458914536244,69.63
43,2011,"CLARKE",42.2,2.81200919924463,118.67
47,2011,"CULPEPER",205.12,17.9027531604714,3672.21
53,2011,"DINWIDDIE",16.664,26.2272198173845,437.05
57,2011,"ESSEX",278.82,-0.563346159327348,-157.07
63,2011,"FLOYD",16.56,0.338022551053512,5.6
69,2011,"FREDERICK",10,14.0392552912008,140.39
81,2011,"GREENSVILLE",27.27,2.5129200773035,68.53
83,2011,"HALIFAX",3.092,205.49750461966,635.4
85,2011,"HANOVER",465.1945,3.32687745927574,1547.65
87,2011,"HENRICO",1.9278,-1,-1.93
93,2011,"ISLE OF WIGHT",40.315,13.6411628324045,549.94
97,2011,"KING AND QUEEN",134.53,-0.243257516355705,-32.73
99,2011,"KING GEORGE",172.54,0.556703101239541,96.05
101,2011,"KING WILLIAM",439.704,3.31877773881157,1459.28
107,2011,"LOUDOUN",32.661098,191.683282493288,6260.59
111,2011,"LUNENBURG",3.8123,49.7066835799955,189.5
119,2011,"MIDDLESEX",61.8,8.50120598404053,525.37
121,2011,"MONTGOMERY",42.83,4.04705957155143,173.34
125,2011,"NELSON",428.226,0.207809112500824,88.99
127,2011,"NEW KENT",49.382,9.16176371829938,452.43
131,2011,"NORTHAMPTON",1410.28676,4.51761404479922,6371.13
137,2011,"ORANGE",38,629.147573352573,23907.61
139,2011,"PAGE",33.46708,5.34483097272663,178.88
141,2011,"PATRICK",0.5,211.18,105.59
143,2011,"PITTSYLVANIA",42.67149,46.1985613525427,1971.36
145,2011,"POWHATAN",3.78,57.1953169121042,216.2
147,2011,"PRINCE EDWARD",3.1968,468.676448422044,1498.26
153,2011,"PRINCE WILLIAM",71.3,95.0700100528181,6778.49
165,2011,"ROCKINGHAM",375.030958,8.0450354910328,3017.14
