"Year","County_Code","name","PPT","Irrigation","parm_Tot_Area","All_Irrigation_mg","Small_Farm_Unreported","TOT_DEQ_Withdrawals","IRR_DEQ_withdrawals","Large_Farm_unreported","C_tot_lg"
2004,197,"WYTHE",339.19,169,1061,190.94,9.9,2581.357,0,181.04,0.0701336545080746
2004,43,"CLARKE",278.04,230,514,125.89,23.02,214.469,0,102.87,0.479649739589405
2004,83,"HALIFAX",436.91,71,2617,197.86,16.86,794.2524,0,181,0.227887255990665
2004,800,"SUFFOLK CITY",508.08,0,1167,0,0,34540.961863,0,0,0
2004,113,"MADISON",319.83,188,333,66.66,14.41,50.638,0,52.25,1.03183380070303
2004,163,"ROCKBRIDGE",319.29,189,700,140.88,11.87,612.3916,0,129.01,0.210665854985601
2004,810,"VIRGINIA BEACH CITY",555.58,-48,431,-22.03,-3.32,5814.974298,3.6,-22.31,-0.00383664636448579
2004,15,"AUGUSTA",295.79,212,3813,860.79,44.92,3990.4075,87.989,727.881,0.182407686433027
2004,45,"CRAIG",302.67,205,130,28.38,6.55,1130.353,0,21.83,0.0193125510349422
2004,181,"SURRY",542.84,-35,1472,-54.86,-2.42,86.7978,0,-52.44,-0.604162778319266
2004,159,"RICHMOND",527.94,-20,243,-5.18,-0.45,118.86,0,-4.73,-0.0397947164731617
2004,153,"PRINCE WILLIAM",316.56,191,1173,238.58,18.1,20958.728,0,220.48,0.0105197223800986
2004,199,"YORK",559.51,-52,41,-2.27,-2.27,30823.8643,0,0,0
2004,7,"AMELIA",466.8,41,886,38.68,4.76,0,0,33.92,Inf
2004,119,"MIDDLESEX",502.45,6,651,4.16,0.17,62.7574,14.5,-10.51,-0.167470290356197
2004,109,"LOUISA",432.91,75,365,29.15,7.19,162.09757,0,21.96,0.135473961762659
2004,111,"LUNENBURG",458.68,49,1484,77.43,3.18,225.2288,0,74.25,0.329664767560809
2004,115,"MATHEWS",485.86,22,117,2.74,0.45,1.289,0,2.29,1.77657098525989
2004,191,"WASHINGTON",409.81,98,836,87.24,16.18,3045.175,0,71.06,0.0233352762977497
2004,29,"BUCKINGHAM",364.93,143,469,71.42,3.96,204.742,0,67.46,0.329487843236854
2004,33,"CAROLINE",463.88,44,3411,159.82,3.7,1366.0375,155.723,0.397,0.000290621597137707
2004,53,"DINWIDDIE",476.14,32,1885,64.23,3.92,21.0767,0,60.31,2.8614536431225
2004,141,"PATRICK",439.44,69,432,31.74,9.85,236.7354,0,21.89,0.0924661035062775
2004,177,"SPOTSYLVANIA",389.07,119,346,43.84,10.01,3685.0377,15.52,18.31,0.00496874156809848
2004,35,"CARROLL",364.86,143,1086,165.37,9.14,174.5737,0,156.23,0.894922889301195
2004,57,"ESSEX",527.8,-20,246,-5.24,-0.83,172.8791,28.5,-32.91,-0.190364248772697
2004,41,"CHESTERFIELD",495.65,12,571,7.3,0.59,34553.8402,15.8,-9.09,-0.000263067721196442
2004,125,"NELSON",391.27,117,1016,126.58,18.07,779.2303,170.87,-62.36,-0.0800276888616882
2004,147,"PRINCE EDWARD",405.43,103,526,57.69,6.58,379.1028,8.3,42.81,0.112924515461242
2004,97,"KING AND QUEEN",534.11,-26,1221,-33.81,-1.77,154.6606,149.5326,-181.5726,-1.17400682526772
2004,179,"STAFFORD",348.04,160,221,37.65,4.26,3792.029,0,33.39,0.0088053124066298
2004,107,"LOUDOUN",268.54,239,3666,933.01,61.59,2510.3395,39.1085,832.3115,0.331553361607065
2004,71,"GILES",310.02,198,193,40.69,6.75,24026.141,0,33.94,0.00141262802045489
2004,1,"ACCOMACK",500.37,8,9716,82.77,0.49,3826.463078,2178.6459,-2096.3659,-0.547859957685968
2004,127,"NEW KENT",517.95,-10,495,-5.27,-0.19,8158.5187,13.3597,-18.4397,-0.00226017745108558
2004,185,"TAZEWELL",414.11,94,330,33.03,2.9,1733.1808,0,30.13,0.0173842221192388
2004,21,"BLAND",397.7,110,801,93.83,2.46,59.985,0,91.37,1.52321413686755
2004,91,"HIGHLAND",253.17,255,20,5.43,2.44,3298.5548,0,2.99,0.000906457579543623
2004,61,"FAUQUIER",314.21,194,920,190.06,44.83,1057.2515,0,145.23,0.137365612628594
2004,69,"FREDERICK",263.26,245,520,135.66,41.48,1689.334,6,88.18,0.0521980851625552
2004,17,"BATH",262.68,245,109,28.44,4.96,4344.0645,0,23.48,0.00540507628282223
2004,3,"ALBEMARLE",356.16,152,1456,235.67,27.19,3962.27139,0,208.48,0.0526162848224286
2004,51,"DICKENSON",367.34,141,12,1.8,1.8,1622.2731,0,0,0
2004,49,"CUMBERLAND",430.92,77,222,18.2,2.21,2.242,0,15.99,7.13202497769848
2004,85,"HANOVER",473.58,34,3569,129.22,10.07,5934.875829,86.391,32.759,0.005519744800713
