"Year","County_Code","name","PPT","Irrigation","parm_UnderTh","Unreported_Irrigation_based"
2003,133,"NORTHUMBERLAND",483.68,24,10,0.26
2003,75,"GOOCHLAND",365.12,143,32,4.87
2003,65,"FLUVANNA",342.75,165,61,10.72
2003,95,"JAMES CITY",427.09,81,27,2.33
2003,63,"FLOYD",469.37,39,196,8.14
2003,149,"PRINCE GEORGE",433.07,75,8,0.64
2003,77,"GRAYSON",468.35,40,77,3.28
2003,131,"NORTHAMPTON",422.18,86,48,4.4
2003,137,"ORANGE",367.23,141,53,7.96
2003,79,"GREENE",437.56,70,47,3.5
2003,195,"WISE",444.17,64,15,1.02
2003,183,"SUSSEX",403.11,105,25,2.8
2003,87,"HENRICO",467.83,40,49,2.09
2003,101,"KING WILLIAM",455.78,52,17,0.94
2003,103,"LANCASTER",447.71,60,12,0.77
2003,187,"WARREN",399.74,108,70,8.05
2003,9,"AMHERST",488.43,20,36,0.77
2003,155,"PULASKI",399.44,109,28,3.25
2003,19,"BEDFORD",505.41,3,159,0.51
2003,173,"SMYTH",487.53,20,66,1.41
2004,67,"FRANKLIN",440.7,67,242,17.27
2004,37,"CHARLOTTE",455.8,52,202,11.19
2004,99,"KING GEORGE",382.62,125,34,4.53
2004,135,"NOTTOWAY",453.91,54,55,3.16
2004,25,"BRUNSWICK",476.98,31,126,4.16
2004,161,"ROANOKE",371.41,137,82,11.96
2004,36,"CHARLES CITY",549.93,-42,21,-0.94
2004,550,"CHESAPEAKE CITY",546.15,-38,189,-7.65
2004,11,"APPOMATTOX",364.96,143,81,12.33
2004,73,"GLOUCESTER",536.93,-29,58,-1.79
2004,47,"CULPEPER",325.13,183,167,32.54
2004,105,"LEE",283.01,225,204,48.88
2004,193,"WESTMORELAND",493.34,15,122,1.95
2004,143,"PITTSYLVANIA",405.29,103,211,23.14
2004,117,"MECKLENBURG",449.69,58,236,14.58
2004,121,"MONTGOMERY",286.95,221,41,9.65
2004,89,"HENRY",427.37,81,40,3.45
2004,93,"ISLE OF WIGHT",530.98,-23,44,-1.08
2004,169,"SCOTT",320.1,188,180,36.03
2004,167,"RUSSELL",436.91,71,118,8.92
2004,59,"FAIRFAX",340.51,167,101,17.96
2004,31,"CAMPBELL",375.88,132,130,18.27
2004,157,"RAPPAHANNOCK",286.05,222,95,22.46
2004,23,"BOTETOURT",282.54,225,77,18.45
2004,197,"WYTHE",339.19,169,55,9.9
2004,43,"CLARKE",278.04,230,94,23.02
2004,83,"HALIFAX",436.91,71,223,16.86
2004,800,"SUFFOLK CITY",508.08,0,109,0
2004,113,"MADISON",319.83,188,72,14.41
2004,163,"ROCKBRIDGE",319.29,189,59,11.87
2004,810,"VIRGINIA BEACH CITY",555.58,-48,65,-3.32
2004,15,"AUGUSTA",295.79,212,199,44.92
2004,45,"CRAIG",302.67,205,30,6.55
2004,181,"SURRY",542.84,-35,65,-2.42
2004,159,"RICHMOND",527.94,-20,21,-0.45
2004,153,"PRINCE WILLIAM",316.56,191,89,18.1
2004,199,"YORK",559.51,-52,41,-2.27
2004,7,"AMELIA",466.8,41,109,4.76
2004,119,"MIDDLESEX",502.45,6,26,0.17
2004,109,"LOUISA",432.91,75,90,7.19
2004,111,"LUNENBURG",458.68,49,61,3.18
2004,115,"MATHEWS",485.86,22,19,0.45
2004,191,"WASHINGTON",409.81,98,155,16.18
2004,29,"BUCKINGHAM",364.93,143,26,3.96
2004,33,"CAROLINE",463.88,44,79,3.7
2004,53,"DINWIDDIE",476.14,32,115,3.92
2004,141,"PATRICK",439.44,69,134,9.85
2004,177,"SPOTSYLVANIA",389.07,119,79,10.01
2004,35,"CARROLL",364.86,143,60,9.14
2004,57,"ESSEX",527.8,-20,39,-0.83
2004,41,"CHESTERFIELD",495.65,12,46,0.59
2004,125,"NELSON",391.27,117,145,18.07
2004,147,"PRINCE EDWARD",405.43,103,60,6.58
2004,97,"KING AND QUEEN",534.11,-26,64,-1.77
2004,179,"STAFFORD",348.04,160,25,4.26
2004,107,"LOUDOUN",268.54,239,242,61.59
2004,71,"GILES",310.02,198,32,6.75
2004,1,"ACCOMACK",500.37,8,58,0.49
2004,127,"NEW KENT",517.95,-10,18,-0.19
2004,185,"TAZEWELL",414.11,94,29,2.9
2004,21,"BLAND",397.7,110,21,2.46
2004,91,"HIGHLAND",253.17,255,9,2.44
2004,61,"FAUQUIER",314.21,194,217,44.83
2004,69,"FREDERICK",263.26,245,159,41.48
2004,17,"BATH",262.68,245,19,4.96
2004,3,"ALBEMARLE",356.16,152,168,27.19
2004,51,"DICKENSON",367.34,141,12,1.8
2004,49,"CUMBERLAND",430.92,77,27,2.21
2004,85,"HANOVER",473.58,34,278,10.07
2004,81,"GREENSVILLE",444.98,63,9,0.6
2004,5,"ALLEGHANY",273.69,234,11,2.74
2004,165,"ROCKINGHAM",230.42,278,350,103.61
2004,171,"SHENANDOAH",232.62,275,125,36.6
2004,145,"POWHATAN",495.38,13,32,0.44
2004,175,"SOUTHAMPTON",505.46,3,90,0.29
2004,139,"PAGE",253.05,255,47,12.76
2004,133,"NORTHUMBERLAND",501,7,10,0.07
2004,75,"GOOCHLAND",467.25,41,32,1.4
2004,65,"FLUVANNA",432.15,76,61,4.94
2004,95,"JAMES CITY",549.13,-41,27,-1.18
2004,63,"FLOYD",311.65,196,196,40.91
2004,149,"PRINCE GEORGE",503.71,4,8,0.03
2004,77,"GRAYSON",352.34,156,77,12.79
2004,131,"NORTHAMPTON",467.76,40,48,2.04
2004,137,"ORANGE",361.26,147,53,8.3
2004,79,"GREENE",325.08,183,47,9.16
2004,195,"WISE",358.04,150,15,2.4
2004,183,"SUSSEX",461.77,46,25,1.22
2004,87,"HENRICO",502.69,5,49,0.26
2004,101,"KING WILLIAM",505.29,3,17,0.05
2004,103,"LANCASTER",468.67,39,12,0.5
2004,187,"WARREN",238.74,269,70,20.05
2004,9,"AMHERST",360.35,148,36,5.67
2004,155,"PULASKI",299.03,209,28,6.23
2004,19,"BEDFORD",350.38,158,159,26.75
2004,173,"SMYTH",374.89,133,66,9.35
2005,67,"FRANKLIN",236.33,272,242,70.09
2005,37,"CHARLOTTE",248.02,260,202,55.93
2005,99,"KING GEORGE",234.63,273,34,9.88
2005,135,"NOTTOWAY",230.13,278,55,16.28
2005,25,"BRUNSWICK",198.13,310,126,41.59
2005,161,"ROANOKE",380.56,127,82,11.09
2005,36,"CHARLES CITY",262.4,246,21,5.5
2005,550,"CHESAPEAKE CITY",380.74,127,189,25.56
2005,11,"APPOMATTOX",274.21,234,81,20.18
2005,73,"GLOUCESTER",298.43,210,58,12.97
2005,47,"CULPEPER",250.96,257,167,45.7
2005,105,"LEE",313.06,195,204,42.36
2005,193,"WESTMORELAND",242.88,265,122,34.43
2005,143,"PITTSYLVANIA",296.4,212,211,47.63
2005,117,"MECKLENBURG",204.66,303,236,76.15
2005,121,"MONTGOMERY",276.9,231,41,10.09
2005,89,"HENRY",397.72,110,40,4.69
2005,93,"ISLE OF WIGHT",264.26,244,44,11.43
2005,169,"SCOTT",371.81,136,180,26.07
