"Year","County_Code","name","PPT","Irrigation","Median_UnderTh","Unreported_Irrigation_based"
2005,131,"NORTHAMPTON",346.28,416,45.5,20.16
2005,137,"ORANGE",219.54,542,45,25.97
2005,79,"GREENE",296,466,37,18.36
2005,195,"WISE",344.29,418,11,4.9
2005,183,"SUSSEX",246.29,516,15.5,8.52
2005,87,"HENRICO",244.24,518,26.5,14.62
2005,101,"KING WILLIAM",245.29,517,15.5,8.53
2005,103,"LANCASTER",315.33,447,12,5.71
2005,187,"WARREN",205.08,557,35,20.76
2005,9,"AMHERST",326.89,435,27,12.51
2005,155,"PULASKI",288.04,474,18.5,9.34
2005,19,"BEDFORD",273.82,488,52.5,27.28
2005,173,"SMYTH",312.17,450,33,15.81
2006,67,"FRANKLIN",319.47,443,123.5,58.26
2006,37,"CHARLOTTE",355.59,406,115,49.72
2006,99,"KING GEORGE",283.69,478,21,10.69
2006,135,"NOTTOWAY",359.15,403,38,16.31
2006,25,"BRUNSWICK",355.55,406,33,14.27
2006,161,"ROANOKE",231.61,530,62,34.99
2006,36,"CHARLES CITY",280.46,482,13.5,6.93
2006,550,"CHESAPEAKE CITY",345.81,416,62.5,27.69
2006,11,"APPOMATTOX",289.39,473,33.5,16.87
2006,73,"GLOUCESTER",302.85,459,48.5,23.71
2006,47,"CULPEPER",248.15,514,89,48.71
2006,105,"LEE",258.73,503,52,27.85
2006,193,"WESTMORELAND",328.76,433,58,26.74
2006,143,"PITTSYLVANIA",287.34,475,131,66.26
2006,117,"MECKLENBURG",339.26,423,83.5,37.61
2006,121,"MONTGOMERY",258.34,504,37.5,20.13
2006,89,"HENRY",322.04,440,26.5,12.42
2006,93,"ISLE OF WIGHT",334.61,427,25,11.37
2006,169,"SCOTT",345.46,417,53.5,23.76
2006,167,"RUSSELL",379.82,382,28,11.39
2006,59,"FAIRFAX",228.74,533,55,31.22
2006,31,"CAMPBELL",279.75,482,102.5,52.61
2006,157,"RAPPAHANNOCK",241.61,520,58.5,32.39
2006,23,"BOTETOURT",236.18,526,25,14
2006,197,"WYTHE",258.83,503,37,19.82
2006,43,"CLARKE",206.28,556,47,27.83
2006,83,"HALIFAX",292.68,469,102.5,51.19
2006,800,"SUFFOLK CITY",320.73,441,65,30.52
2006,113,"MADISON",275.17,487,53,27.49
2006,163,"ROCKBRIDGE",263.28,499,50.5,26.83
2006,810,"VIRGINIA BEACH CITY",353.79,408,47.5,20.64
2006,15,"AUGUSTA",279.48,483,189.5,97.47
2006,45,"CRAIG",250.75,511,14.5,7.89
2006,181,"SURRY",262.22,500,26,13.84
2006,159,"RICHMOND",308.18,454,16,7.74
2006,153,"PRINCE WILLIAM",215.12,547,51.5,30
2006,199,"YORK",290.97,471,14,7.02
2006,7,"AMELIA",322.16,440,41.5,19.44
2006,119,"MIDDLESEX",301.64,460,17,8.33
2006,109,"LOUISA",297.02,465,71,35.16
2006,111,"LUNENBURG",354.71,407,34,14.74
2006,115,"MATHEWS",352.12,410,13.5,5.89
2006,191,"WASHINGTON",364.21,398,106,44.92
2006,29,"BUCKINGHAM",303.45,459,17.5,8.55
2006,33,"CAROLINE",260.38,502,25,13.36
2006,53,"DINWIDDIE",320.31,442,40,18.83
2006,141,"PATRICK",301.02,461,57.5,28.23
2006,177,"SPOTSYLVANIA",238.79,523,34.5,19.21
2006,35,"CARROLL",263.36,499,25,13.28
2006,57,"ESSEX",290.1,472,21,10.55
2006,41,"CHESTERFIELD",314.9,447,31.5,14.99
2006,125,"NELSON",270.61,491,81.5,42.61
2006,147,"PRINCE EDWARD",306.31,456,30,14.57
2006,97,"KING AND QUEEN",270.16,492,27.5,14.41
2006,179,"STAFFORD",200.2,562,16.5,9.87
2006,107,"LOUDOUN",213.26,549,210,122.77
2006,71,"GILES",293.33,469,27.5,13.73
